min_height_atr,signal_mode,total_trades,win_rate,total_pnl,total_pnl_pct,profit_factor,max_drawdown_pct,sharpe_ratio,avg_pnl_per_trade,avg_win,avg_loss,box_filter_pass_rate,box_filter_total_candidates,box_filter_passed
6.0,all,357,0.38935574229691877,-2028.0170929612518,-0.20280170929612518,0.6551958368379881,-0.23087834725759124,0.13037257829355844,-5.680720148350845,27.723971211548925,-26.9800417035163,0.8459715639810427,422,357
8.0,all,285,0.4,-1423.7508937183331,-0.14237508937183332,0.7044641567346475,-0.18829749569755078,0.1683918239075148,-4.99561717094152,29.76993584612875,-28.17265251565503,0.28700906344410876,993,285
10.0,all,247,0.38866396761133604,-1561.4923289647816,-0.15614923289647817,0.6392619912997646,-0.17352338845646736,-0.2213205325911113,-6.321831291355391,28.824089769294783,-28.666257925940936,0.08042982741777922,3071,247
12.0,all,185,0.41081081081081083,-877.6293672389323,-0.08776293672389324,0.7256098790811814,-0.11650893874869246,-0.06755809884946658,-4.74394252561585,30.537414974396633,-29.34378812195483,0.02356988151356861,7849,185
14.0,all,101,0.45544554455445546,-185.0529875113454,-0.01850529875113454,0.8893868817815003,-0.04529328939335788,0.22513870925958968,-1.8322077971420336,32.346131897216246,-30.41772826878714,0.006684757429346747,15109,101
