min_height_atr,signal_mode,total_trades,win_rate,total_pnl,total_pnl_pct,profit_factor,max_drawdown_pct,sharpe_ratio,avg_pnl_per_trade,avg_win,avg_loss,box_filter_pass_rate,box_filter_total_candidates,box_filter_passed
6.0,breakout_only,408,0.4019607843137255,-2246.9015286494396,-0.22469015286494395,0.6606934821241767,-0.25370060607850914,-0.0793133313414945,-5.5071115898270575,26.67767711034411,-27.13951055223718,0.5244215938303342,778,408
8.0,breakout_only,403,0.38461538461538464,-2373.5906557619987,-0.23735906557619987,0.639680573751396,-0.24389391418504855,-0.09904546885286966,-5.889803116034736,27.186269019716484,-26.562348200879253,0.14382583868665239,2802,403
10.0,breakout_only,418,0.39712918660287083,-2117.580578186903,-0.2117580578186903,0.6883799330718182,-0.22353001284063387,-0.6710617596014767,-5.065982244466276,28.179588199580724,-26.96584214014803,0.03627212773342589,11524,418
12.0,breakout_only,234,0.4188034188034188,-929.5475029819565,-0.09295475029819565,0.759152201723528,-0.11915622132478806,0.4126178264903331,-3.9724252264186175,29.897280651387337,-28.378536814837613,0.010026995757809487,23337,234
14.0,breakout_only,224,0.39732142857142855,-1402.0323107951076,-0.14020323107951077,0.6444360680627673,-0.16973456594405653,-0.3910104741391842,-6.259072816049588,28.551580550154213,-29.208318368583946,0.003043933196537526,73589,224
16.0,breakout_only,80,0.375,-567.9810623356291,-0.056798106233562906,0.6219982478071472,-0.06912609182705368,-0.3868761107690408,-7.099763279195363,31.153579184130482,-30.05176875719087,0.0011060570448920904,72329,80
18.0,breakout_only,78,0.3717948717948718,-616.899863293829,-0.0616899863293829,0.5703594862261248,-0.06935887370749345,-2.881797998256002,-7.90897260633114,28.23970255172847,-29.30308647538683,0.0006510905767159993,119799,78
