min_height_atr,signal_mode,total_trades,win_rate,total_pnl,total_pnl_pct,profit_factor,max_drawdown_pct,sharpe_ratio,avg_pnl_per_trade,avg_win,avg_loss,box_filter_pass_rate,box_filter_total_candidates,box_filter_passed
0.0,breakout_only,432,0.4027777777777778,-2431.191927791185,-0.24311919277911853,0.6528489729745501,-0.25271240796283956,-0.11784554667686331,-5.627759092109225,26.27630338873139,-27.14445239314126,1.0,432,432
4.0,breakout_only,432,0.4027777777777778,-2431.191927791185,-0.24311919277911853,0.6528489729745501,-0.25271240796283956,-0.11784554667686331,-5.627759092109225,26.27630338873139,-27.14445239314126,1.0,432,432
6.0,breakout_only,408,0.4019607843137255,-2246.9015286494396,-0.22469015286494395,0.6606934821241767,-0.25370060607850914,-0.0793133313414945,-5.5071115898270575,26.67767711034411,-27.13951055223718,0.5244215938303342,778,408
8.0,breakout_only,403,0.38461538461538464,-2373.5906557619987,-0.23735906557619987,0.639680573751396,-0.24389391418504855,-0.09904546885286966,-5.889803116034736,27.186269019716484,-26.562348200879253,0.14382583868665239,2802,403
10.0,breakout_only,418,0.39712918660287083,-2117.580578186903,-0.2117580578186903,0.6883799330718182,-0.22353001284063387,-0.6710617596014767,-5.065982244466276,28.179588199580724,-26.96584214014803,0.03627212773342589,11524,418
11.0,breakout_only,304,0.4309210526315789,-972.1999504055946,-0.09721999504055946,0.8017698073179642,-0.11771082111259151,0.9066151714443149,-3.198026152649982,30.016786316423943,-28.349126924029658,0.017674418604651163,17200,304
12.0,breakout_only,234,0.4188034188034188,-929.5475029819565,-0.09295475029819565,0.759152201723528,-0.11915622132478806,0.4126178264903331,-3.9724252264186175,29.897280651387337,-28.378536814837613,0.010026995757809487,23337,234
13.0,breakout_only,217,0.4055299539170507,-1367.479352392892,-0.1367479352392892,0.6456314477509579,-0.15864498151787412,0.40340221586656794,-6.30174816770918,28.311808184509843,-29.91409668705239,0.005031884057971015,43125,217
14.0,breakout_only,224,0.39732142857142855,-1402.0323107951076,-0.14020323107951077,0.6444360680627673,-0.16973456594405653,-0.3910104741391842,-6.259072816049588,28.551580550154213,-29.208318368583946,0.003043933196537526,73589,224
16.0,breakout_only,80,0.375,-567.9810623356291,-0.056798106233562906,0.6219982478071472,-0.06912609182705368,-0.3868761107690408,-7.099763279195363,31.153579184130482,-30.05176875719087,0.0011060570448920904,72329,80
20.0,breakout_only,46,0.391304347826087,-310.9842065625666,-0.031098420656256662,0.6376170796561248,-0.04207360426010473,-0.35179090583010686,-6.760526229621013,30.398912690268048,-30.64873696383541,0.0003075133534331192,149587,46
