entry_bar,exit_bar,entry_time,exit_time,side,signal_type,entry_price,exit_price,size,pnl,pnl_pct,exit_reason,stop_loss,take_profit,mfe,mae,mfe_pct,mae_pct
14,21,2024-01-01 01:42:00+00:00,2024-01-01 02:03:00+00:00,long,breakout_long,0.6185236799999999,0.617728076460163,45591.052486331275,-58.81721022905175,-0.0020857798725199025,sl,0.6178516467895209,0.6192225298157186,0.00047632000000008556,0.0008236799999998823,0.0007700917772462416,0.0013316870907834643
24,31,2024-01-01 02:12:00+00:00,2024-01-01 02:33:00+00:00,short,bounce_short,0.61717654,0.6163992350690684,29123.986517156613,8.26756063177152,0.00045995692076049495,tp,0.6181533501057551,0.6162759798730938,0.0010765400000000147,0.00032346000000005315,0.001744298316977529,0.000524096395498204
36,37,2024-01-01 02:48:00+00:00,2024-01-01 02:51:00+00:00,short,breakout_short,0.6153769000000001,0.6162291080603111,41053.250328742,-55.21048273422987,-0.0021854094028148736,sl,0.6161058868829344,0.6145911696755985,0.0,0.0008230999999998545,0.0,0.0013375542695864182
40,41,2024-01-01 03:00:00+00:00,2024-01-01 03:03:00+00:00,short,breakout_short,0.61557686,0.6152181961720784,61345.89439676989,-8.199136104379704,-0.0002171202383195982,tp,0.6161032152422327,0.6150951771366511,0.0005768600000000124,0.00012314000000002157,0.0009371047508186263,0.00020004000800163534
44,53,2024-01-01 03:12:00+00:00,2024-01-01 03:39:00+00:00,short,breakout_short,0.61447708,0.6123067182372977,15346.428367985745,25.776601450865304,0.002733459551343129,tp,0.6162104790793191,0.6121842813810214,0.0028770799999999763,0.00012292000000002634,0.004682159992037418,0.00020004000800164317
56,67,2024-01-01 03:48:00+00:00,2024-01-01 04:21:00+00:00,short,breakout_short,0.61257746,0.609745835131755,12083.300301407095,28.307493847744425,0.0038243254170539703,tp,0.6147507264335433,0.609623910349685,0.0032774600000000653,0.0008225399999999272,0.005350278477435433,0.001342752637356143
70,136,2024-01-01 04:30:00+00:00,2024-01-01 07:48:00+00:00,short,breakout_short,0.61147768,0.6148937067158394,7837.354557055674,-30.617215498935913,-0.006388745490310849,sl,0.6147707525653264,0.6068438711520104,0.0031776800000000716,0.0034223199999999787,0.005196722797797086,0.0055968028138001355
142,219,2024-01-01 08:06:00+00:00,2024-01-01 11:57:00+00:00,long,breakout_long,0.6156231,0.620564764131921,7161.564078616024,31.848828894875282,0.0072238825772915575,tp,0.6120407320584644,0.6206889019123034,0.005076900000000051,0.0013231000000000215,0.008246766568700966,0.0021492046026213465
222,376,2024-01-01 12:06:00+00:00,2024-01-01 19:48:00+00:00,long,breakout_long,0.620124,0.625522061232589,6601.527879028735,32.346184839388876,0.007901327489495612,tp,0.6162352062195179,0.6256471906707232,0.005676000000000014,0.0018240000000000478,0.00915300810805583,0.0029413472144281592
379,472,2024-01-01 19:57:00+00:00,2024-01-02 00:36:00+00:00,long,breakout_long,0.62592516,0.6321358283073274,5787.644674227386,33.032657360764276,0.00911841267413581,tp,0.6214918128243466,0.6322622807634801,0.006474839999999982,0.0004251600000000355,0.010344431593067744,0.0006792505353196467
475,766,2024-01-02 00:45:00+00:00,2024-01-02 15:18:00+00:00,long,breakout_long,0.63222642,0.6217184706679002,2438.9632551469317,-26.851832512864338,-0.01741389941971567,sl,0.6218428392357473,0.647485741146379,0.008273580000000003,0.010426419999999936,0.013086419260998303,0.016491591730696635
778,813,2024-01-02 15:54:00+00:00,2024-01-02 17:39:00+00:00,long,breakout_long,0.62542506,0.6222012641659291,8388.513097943154,-31.22914548383966,-0.00595250590652254,sl,0.6223257293117915,0.6297614060323127,0.0017749400000000026,0.004125060000000014,0.0028379739052989063,0.006595610351782216
818,844,2024-01-02 17:54:00+00:00,2024-01-02 19:12:00+00:00,long,breakout_long,0.6241248,0.6266193077416192,13592.757888214815,27.10681504744992,0.0031952104747680933,tp,0.6221702288846975,0.6267446566729538,0.005075199999999946,0.0015247999999999928,0.00813170699193486,0.002443101123365059
858,859,2024-01-02 19:54:00+00:00,2024-01-02 19:57:00+00:00,long,breakout_long,0.6272254199999999,0.6277028541363854,51356.51605445361,-1.2601437329252825,-3.912018308999156e-05,tp,0.6266143867864337,0.6278284198203494,0.0006745800000000912,0.00022541999999992068,0.0010754985025959109,0.0003593923218225446
914,915,2024-01-02 22:42:00+00:00,2024-01-02 22:45:00+00:00,long,breakout_long,0.62502498,0.6253501235651542,65026.370986599395,-11.380036051109702,-0.0002799991710280648,tp,0.624516520927416,0.6254752186088759,0.0012750200000000156,0.00022497999999993024,0.0020399504672597496,0.0003599536133738691
940,941,2024-01-03 00:00:00+00:00,2024-01-03 00:03:00+00:00,long,breakout_long,0.62542506,0.6243803604272503,31340.87716686086,-48.40980025145416,-0.002469715142083631,sl,0.6245052614795462,0.6264921077806807,7.493999999996781e-05,0.0009250599999999221,0.00011982250919073792,0.0014790900767550346
948,1035,2024-01-03 00:24:00+00:00,2024-01-03 04:45:00+00:00,short,breakout_short,0.62427512,0.6301820070883022,4382.389650661875,-28.085288815784253,-0.010265778234342493,sl,0.6300559958891244,0.6159160061663133,0.001675119999999919,0.006324880000000088,0.002683304117581875,0.010131558662789714
1043,1163,2024-01-03 05:09:00+00:00,2024-01-03 11:09:00+00:00,long,breakout_long,0.63252648,0.6266113637537505,4364.348180975881,-28.013753212773803,-0.010147830307042669,sl,0.6267367110959696,0.6408949333560454,0.006873519999999966,0.006926479999999957,0.010866770352444322,0.010950498072428457
1177,1178,2024-01-03 11:51:00+00:00,2024-01-03 11:54:00+00:00,short,breakout_short,0.62197558,0.6158402728380796,5792.032731490325,32.66811192551134,0.009068170844882869,tp,0.6263552470585352,0.6157171294121973,0.010475579999999929,0.00012442000000001396,0.016842429730118874,0.0002000400080016228
1181,1183,2024-01-03 12:03:00+00:00,2024-01-03 12:09:00+00:00,short,breakout_short,0.60407916,0.5704664943336057,1095.8628357754883,36.32001474254582,0.0548650733202926,tp,0.6267650507674426,0.570352423848836,0.10407915999999995,0.0004208400000000889,0.17229390929493404,0.0006966636624247872
1186,5047,2024-01-03 12:18:00+00:00,2024-01-11 13:21:00+00:00,short,breakout_short,0.55108976,0.6238913495797844,342.0168760730828,-25.060117588649916,-0.13295761841703674,sl,0.6237665962605323,0.44235010560920157,0.00878975999999998,0.07291024000000002,0.0159497792156399,0.13230193208453014
5050,5095,2024-01-11 13:30:00+00:00,2024-01-11 15:45:00+00:00,long,breakout_long,0.61182234,0.5996829599158344,2080.8762575870683,-26.268944844779803,-0.020633411660208305,sl,0.5998029204999344,0.6295456192500983,0.005777660000000018,0.013022340000000021,0.009443362267549788,0.021284512101993565
5113,5606,2024-01-11 16:39:00+00:00,2024-01-12 17:18:00+00:00,long,breakout_long,0.6006201,0.5733163362091074,912.1392865830437,-25.333153042623774,-0.046241107091448075,sl,0.5734310224135901,0.6411034663796149,0.006479899999999983,0.03052009999999994,0.01078868322921591,0.05081431673698556
5609,8946,2024-01-12 17:27:00+00:00,2024-01-19 16:18:00+00:00,short,breakout_short,0.57128572,0.5332480967255708,965.5628697254306,36.30111794967812,0.06580911868012197,tp,0.5969056877120771,0.5331414684318845,0.03818571999999998,0.021914279999999953,0.06684171976152314,0.038359579511281945
8949,9023,2024-01-19 16:27:00+00:00,2024-01-19 20:09:00+00:00,short,breakout_short,0.53229352,0.5485048931604449,1545.3433529993745,-25.72021961396999,-0.03126788491753411,sl,0.5483952141176214,0.5084071788235679,0.010693520000000012,0.01640648,0.020089517527848193,0.03082224258525635
9026,9028,2024-01-19 20:18:00+00:00,2024-01-19 20:24:00+00:00,long,breakout_long,0.5478095399999999,0.546812649600851,31690.07065854055,-45.4669890009943,-0.0026190476255475667,sl,0.5469220340076525,0.5488669489885212,0.0,0.0016095399999999094,0.0,0.002938137952106328
9033,9036,2024-01-19 20:39:00+00:00,2024-01-19 20:48:00+00:00,long,breakout_long,0.54750948,0.5468193213133978,52069.800843239944,-58.729018458170586,-0.0020600377679807834,sl,0.5469287070548088,0.5481069394177869,9.051999999998284e-05,0.0007094800000000401,0.00016533047062487912,0.001295831443868406
9045,10160,2024-01-19 21:15:00+00:00,2024-01-22 05:00:00+00:00,long,breakout_long,0.5448089399999999,0.5356360839767146,2723.4499035975896,-26.15882901088774,-0.01763009621845782,sl,0.5357432326232392,0.5581351510651411,0.010391060000000119,0.010308939999999933,0.019072851484412352,0.018922119743482797
10163,10454,2024-01-22 05:09:00+00:00,2024-01-22 19:42:00+00:00,short,breakout_short,0.5373924999999999,0.5182400248715392,1884.5597268279805,35.298222279090616,0.034853895650780634,tp,0.5504090682719861,0.5181363975920208,0.020492499999999914,0.0034075000000000077,0.03813320803695607,0.006340803044329811
10457,10463,2024-01-22 19:51:00+00:00,2024-01-22 20:09:00+00:00,short,breakout_short,0.52559486,0.5291601512567679,7278.973778057638,-29.02267519683654,-0.007586058321176434,sl,0.5290543403886901,0.5206684894169646,0.0008948599999999418,0.004105139999999952,0.0017025661171799545,0.00781046450872817
