year_month,total_pnl,trade_count,avg_pnl,win_rate
2024-01,-426.59669522509404,39,-10.938376800643438,0.3333333333333333
2024-02,-214.34933322208283,36,-5.954148145057856,0.3611111111111111
2024-03,-799.4122435482585,50,-15.98824487096517,0.24
2024-04,-493.4924622918134,52,-9.49023965945795,0.40384615384615385
2024-07,-340.3477714557924,82,-4.150582578729176,0.4146341463414634
2024-08,17.37141538777152,4,4.34285384694288,0.5
2024-09,-85.49252240945668,11,-7.772047491768789,0.36363636363636365
2024-10,85.64622367874975,7,12.235174811249964,0.7142857142857143
2024-11,198.3893023122235,36,5.510813953117319,0.5555555555555556
2024-12,-100.60823545540994,49,-2.053229295008366,0.40816326530612246
