timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-19T20:30:07.307349,INITIAL,1.9759,TREND_UP,TREND_UP,TREND_UP_VALIDATED,HOLD,TREND_UP_NO_REBOUND,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9760,1.9749,0.002593,50.4
2026-01-19T20:36:07.213285,TRADE,1.9758,TREND_UP,TREND_UP,TREND_UP_VALIDATED,LONG_TREND_PULLBACK,TREND_UP_PULLBACK_ENTRY,0.561,OPEN_LONG,DE_OPEN_FROM_CANDIDATE,FLAT,0.00,1.9758,1.9750,0.002393,43.1
2026-01-19T20:45:08.749673,REGIME_CHANGE,1.9757,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9757,1.9750,0.001786,51.8
2026-01-19T20:48:09.659194,REGIME_CHANGE,1.9749,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9756,1.9750,0.001714,43.9
2026-01-19T20:51:10.503917,REGIME_CHANGE,1.9732,TREND_UP,TREND_UP,TREND_UP_VALIDATED,HOLD,TREND_UP_NO_REBOUND,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9754,1.9749,0.001664,44.2
2026-01-19T20:54:06.196158,REGIME_CHANGE,1.9718,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9750,1.9748,0.001636,39.2
2026-01-19T20:57:06.758139,REGIME_CHANGE,1.9702,TREND_UP,TREND_UP,TREND_UP_VALIDATED,HOLD,TREND_UP_EMA_NOT_ALIGNED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9746,1.9746,0.001579,27.3
