timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-18T11:48:05.256966,INITIAL,2.0510,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0518,2.0550,0.002014,40.8
2026-01-18T11:51:07.048634,REGIME_CHANGE,2.0509,TREND_DOWN,TREND_DOWN,TREND_DOWN_VALIDATED,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0518,2.0549,0.001900,40.8
2026-01-18T12:00:00.744811,REGIME_CHANGE,2.0521,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0518,2.0545,0.001664,44.1
2026-01-18T12:09:08.118872,TRADE,2.0531,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,SHORT_TREND_PULLBACK,TREND_DOWN_PULLBACK_ENTRY,0.588,OPEN_SHORT,DE_OPEN_FROM_CANDIDATE,FLAT,0.00,2.0523,2.0545,0.001600,50.7
2026-01-18T12:12:07.291989,REGIME_CHANGE,2.0522,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,65.70,2.0523,2.0544,0.001371,59.4
2026-01-18T12:15:05.781981,REGIME_CHANGE,2.0509,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,97.33,2.0522,2.0542,0.001279,55.1
2026-01-18T12:21:02.406718,REGIME_CHANGE,2.0539,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,24.33,2.0525,2.0542,0.001171,68.1
2026-01-18T12:24:10.857018,REGIME_CHANGE,2.0529,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,48.66,2.0525,2.0542,0.001050,59.1
2026-01-18T12:30:10.772122,TRADE,2.0553,RANGE,RANGE,RANGE_VALIDATED,EXIT,EMA_CROSS_EXIT,0.800,CLOSE,DE_CLOSE_FROM_EXIT_SIGNAL,SHORT,-9.73,2.0529,2.0542,0.001186,64.2
2026-01-18T12:33:00.682491,REGIME_CHANGE,2.0586,TREND_DOWN,TREND_DOWN,TREND_DOWN_VALIDATED,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0534,2.0544,0.001407,71.0
2026-01-18T12:39:05.866711,REGIME_CHANGE,2.0582,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0543,2.0547,0.001314,66.5
2026-01-18T12:45:08.105979,PERIODIC,2.0585,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0551,2.0549,0.001143,65.8
2026-01-18T12:51:04.682939,REGIME_CHANGE,2.0585,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0556,2.0552,0.001100,69.0
2026-01-18T13:06:04.520550,REGIME_CHANGE,2.0555,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0559,2.0554,0.001079,59.3
