timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-18T10:24:07.210306,INITIAL,2.0581,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0583,2.0610,0.002336,41.7
2026-01-18T10:27:06.991252,TRADE,2.0570,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,SHORT_TREND_PULLBACK,TREND_DOWN_PULLBACK_ENTRY,0.575,OPEN_SHORT,DE_OPEN_FROM_CANDIDATE,FLAT,0.00,2.0582,2.0608,0.002257,43.7
2026-01-18T10:33:06.004057,REGIME_CHANGE,2.0574,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,4.86,2.0581,2.0606,0.002200,46.4
2026-01-18T10:42:09.803144,REGIME_CHANGE,2.0558,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,43.74,2.0578,2.0602,0.001871,40.3
2026-01-18T10:45:07.959650,REGIME_CHANGE,2.0547,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,70.47,2.0575,2.0600,0.001550,43.7
2026-01-18T10:48:06.900753,REGIME_CHANGE,2.0531,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,109.35,2.0571,2.0597,0.001429,44.8
2026-01-18T11:12:09.406903,REGIME_CHANGE,2.0539,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,89.91,2.0544,2.0576,0.001229,36.8
