timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-18T13:15:02.510173,INITIAL,2.0523,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0549,2.0551,0.001529,26.0
2026-01-18T13:18:09.037375,REGIME_CHANGE,2.0528,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0547,2.0550,0.001479,29.7
2026-01-18T13:21:07.321587,REGIME_CHANGE,2.0526,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_WEAK_SLOPE,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0545,2.0549,0.001400,26.4
2026-01-18T13:24:10.817235,REGIME_CHANGE,2.0531,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0544,2.0548,0.001393,28.7
2026-01-18T13:33:04.391467,REGIME_CHANGE,2.0513,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_WEAK_SLOPE,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0540,2.0546,0.001464,29.7
2026-01-18T13:45:05.811940,REGIME_CHANGE,2.0534,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0537,2.0544,0.001079,42.3
2026-01-18T13:51:06.981988,REGIME_CHANGE,2.0547,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0538,2.0544,0.000957,56.7
2026-01-18T13:54:05.282431,REGIME_CHANGE,2.0538,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_WEAK_SLOPE,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0538,2.0544,0.000907,60.7
2026-01-18T13:57:02.777596,REGIME_CHANGE,2.0544,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0539,2.0544,0.000879,59.6
2026-01-18T14:00:09.557660,REGIME_CHANGE,2.0545,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0539,2.0544,0.000829,58.1
