timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-18T10:27:10.711355,INITIAL,2.0570,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0582,2.0608,0.002257,43.7
2026-01-18T10:30:00.236308,REGIME_CHANGE,2.0582,TREND_DOWN,TREND_DOWN,TREND_DOWN_VALIDATED,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0582,2.0607,0.002207,47.8
2026-01-18T10:33:04.610783,REGIME_CHANGE,2.0574,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0582,2.0606,0.002200,46.4
2026-01-18T10:36:11.312383,REGIME_CHANGE,2.0575,TREND_DOWN,TREND_DOWN,TREND_DOWN_VALIDATED,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0581,2.0605,0.002107,40.5
2026-01-18T10:42:08.664544,TRADE,2.0558,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,SHORT_TREND_PULLBACK,TREND_DOWN_PULLBACK_ENTRY,0.583,OPEN_SHORT,DE_OPEN_FROM_CANDIDATE,FLAT,0.00,2.0578,2.0602,0.001864,40.3
2026-01-18T10:54:09.791705,REGIME_CHANGE,2.0478,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,233.30,2.0558,2.0590,0.001550,29.1
2026-01-18T10:57:09.372554,REGIME_CHANGE,2.0494,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,194.42,2.0552,2.0586,0.001507,32.0
