timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-18T10:24:07.409525,INITIAL,2.0581,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_NO_REJECTION,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0583,2.0610,0.002329,41.7
2026-01-18T10:27:07.399441,TRADE,2.0570,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,SHORT_TREND_PULLBACK,TREND_DOWN_PULLBACK_ENTRY,0.575,OPEN_SHORT,DE_OPEN_FROM_CANDIDATE,FLAT,0.00,2.0582,2.0608,0.002250,43.7
2026-01-18T10:33:01.647514,REGIME_CHANGE,2.0574,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,4.86,2.0581,2.0606,0.002200,46.5
2026-01-18T10:42:06.290070,REGIME_CHANGE,2.0558,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,43.74,2.0578,2.0602,0.001864,40.5
2026-01-18T10:45:04.825296,REGIME_CHANGE,2.0547,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,70.47,2.0575,2.0600,0.001543,43.8
2026-01-18T10:48:03.950903,REGIME_CHANGE,2.0531,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,109.35,2.0571,2.0597,0.001421,44.9
2026-01-18T11:06:01.664408,REGIME_CHANGE,2.0521,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,133.65,2.0545,2.0579,0.001164,31.0
2026-01-18T11:09:08.069734,REGIME_CHANGE,2.0542,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_IN_POSITION,0.000,NO_ACTION,DE_HOLD,SHORT,82.62,2.0545,2.0578,0.001229,41.7
